Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chunky-gold-knot-earrings-bold-statement-studs,Chunky Gold Knot Earrings - Bold Statement Studs,"<p data-start=""811"" data-end=""1030"">Turn heads with these bold gold knot earrings. Crafted with a thicker, chunkier knot design, they’re a modern twist on a classic style. Perfect for making a statement while keeping it sophisticated.</p>
<ul data-start=""1032"" data-end=""1163"">
<li data-start=""1055"" data-end=""1088"">
<p data-start=""1057"" data-end=""1088"">Chunky interwoven knot design</p>
</li>
<li data-start=""1089"" data-end=""1119"">
<p data-start=""1091"" data-end=""1119"">Comfortable stud fastening</p>
</li>
<li data-start=""1120"" data-end=""1163"">
<p data-start=""1122"" data-end=""1163"">Ideal for elevated day-to-night styling</p>
</li>
<li data-start=""383"" data-end=""433"">
<p data-start=""385"" data-end=""433"">Stainless steel with gold-plated finish</p>
</li>
<li data-start=""434"" data-end=""498"">
<p data-start=""436"" data-end=""498"">Not waterproof — avoid wearing in the shower, pool, or ocean</p>
</li>
<li data-start=""499"" data-end=""555"">
<p data-start=""501"" data-end=""555"">Keep away from perfume, lotions, and harsh chemicals</p>
</li>
<li data-start=""556"" data-end=""613"">
<p data-start=""558"" data-end=""613"">Store in a dry place to maintain shine and durability</p>
</li>
</ul>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Earrings,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2722_f7ed0907-43bf-4b00-9869-1b6e4cdb931c.jpg?v=1756440783,1,"",false,,,adults; teens,gold,stud,gold-plated; stainless-steel,imitation-jewelry,,female,,kg,,1.00,active
classic-single-hoop-earrings,Classic Single Hoop Earrings,"<p data-start=""302"" data-end=""650"">Sleek, minimal, and endlessly versatile — our <strong data-start=""367"" data-end=""399"">Classic Single Hoop Earrings</strong> are a must-have for every jewelry collection. Featuring a bold gold-plated circle linked to a polished oval stud, these earrings strike the perfect balance between modern and timeless. Wear them from day to night for a subtle yet stylish statement.</p>
<p data-start=""652"" data-end=""668"">✨ <strong data-start=""654"" data-end=""666"">Details:</strong></p>
<ul data-start=""669"" data-end=""821"">
<li data-start=""692"" data-end=""729"">
<p data-start=""694"" data-end=""729"">Lightweight, everyday wear design</p>
</li>
<li data-start=""730"" data-end=""779"">
<p data-start=""732"" data-end=""779"">Polished interlocking oval + hoop combination</p>
</li>
<li data-start=""780"" data-end=""821"">
<p data-start=""782"" data-end=""821"">A chic essential for effortless style</p>
</li>
<li data-end=""433"" data-start=""383"">
<p data-end=""433"" data-start=""385"">Stainless steel with gold-plated single hoop design</p>
</li>
<li data-end=""498"" data-start=""434"">
<p data-end=""498"" data-start=""436"">Not waterproof — avoid wearing in the shower, pool, or ocean</p>
</li>
<li data-end=""555"" data-start=""499"">
<p data-end=""555"" data-start=""501"">Keep away from perfume, lotions, and harsh chemicals</p>
</li>
<li data-end=""613"" data-start=""556"">
<p data-end=""613"" data-start=""558"">Store in a dry place to maintain shine and durability</p>
</li>
</ul>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Earrings,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,5,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2823.jpg?v=1756620061,1,"",false,,,adults; teens,gold,hoop; stud,gold-plated; stainless-steel,imitation-jewelry,,female,,kg,,1.00,active
dainty-clover-necklace,Dainty Clover Necklace,"<p data-end=""571"" data-start=""169"">Bring a touch of elegance and good fortune to your everyday look with our Dainty Clover Necklace. Featuring a delicate four-leaf clover pendant adorned with sparkling cubic zirconia crystals, this piece adds just the right amount of shimmer to any outfit. Crafted with a gold-plated chain, it’s perfect for layering or wearing on its own as a subtle statement.<br data-end=""555"" data-start=""552"">✨ Details:</p>
<ul data-end=""728"" data-start=""572"">
<li data-end=""647"" data-start=""594"">
<p data-end=""647"" data-start=""596"">Four-leaf clover charm with cubic zirconia stones</p>
</li>
<li data-end=""692"" data-start=""648"">
<p data-end=""692"" data-start=""650"">Lightweight &amp; comfortable for daily wear</p>
</li>
<li data-end=""728"" data-start=""693"">
<p data-end=""728"" data-start=""695"">A symbol of luck and positivity</p>
</li>
<li data-end=""433"" data-start=""383"">
<p data-end=""433"" data-start=""385"">Stainless steel with gold-plated chain</p>
</li>
<li data-end=""498"" data-start=""434"">
<p data-end=""498"" data-start=""436"">Not waterproof — avoid wearing in the shower, pool, or ocean</p>
</li>
<li data-end=""555"" data-start=""499"">
<p data-end=""555"" data-start=""501"">Keep away from perfume, lotions, and harsh chemicals</p>
</li>
<li data-end=""613"" data-start=""556"">
<p data-end=""613"" data-start=""558"">Store in a dry place to maintain shine and durability</p>
</li>
</ul>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Necklaces,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,7,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2761.jpg?v=1756619125,1,"",false,,,adults; teens,clear; gold,,gold-plated; metal; stainless-steel,imitation-jewelry,pendant,female,,kg,,1.00,active
double-hoop-statement-earrings,Double Hoop Statement Earrings,"<p data-start=""887"" data-end=""1206"">Make a statement with our <strong data-start=""932"" data-end=""966"">Double Hoop Statement Earrings</strong>, designed with two interlocking gold circles that add depth and dimension. The polished finish creates a sleek, modern edge while maintaining an elegant silhouette. These earrings are perfect for elevating both casual and dressy outfits.</p>
<p data-start=""1208"" data-end=""1224"">✨ <strong data-start=""1210"" data-end=""1222"">Details:</strong></p>
<ul data-start=""1225"" data-end=""1359"">
<li data-start=""1225"" data-end=""1259"">
<p data-start=""1227"" data-end=""1259"">Gold-plated double hoop design</p>
</li>
<li data-start=""1260"" data-end=""1289"">
<p data-start=""1262"" data-end=""1289"">Eye-catching layered look</p>
</li>
<li data-start=""1290"" data-end=""1322"">
<p data-start=""1292"" data-end=""1322"">Comfortable and easy to wear</p>
</li>
<li data-start=""1323"" data-end=""1359"">
<p data-start=""1325"" data-end=""1359"">Ideal for bold yet refined style</p>
</li>
</ul>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Earrings,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,5,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2818.jpg?v=1756620181,1,"",false,,,adults,gold; geometric,hoop,gold-plated,imitation-jewelry,,female,,kg,,1.00,active
elongated-link-hoop-earrings,Elongated Link Hoop Earrings,"<p data-start=""1422"" data-end=""1731"">Chic and contemporary, our <strong data-start=""1468"" data-end=""1500"">Elongated Link Hoop Earrings</strong> feature interlocking oval links that create a fluid, cascading silhouette. With their polished gold finish and modern shape, these earrings bring a touch of sophistication and edge to your look — perfect for dressing up or down.</p>
<p data-start=""1733"" data-end=""1749"">✨ <strong data-start=""1735"" data-end=""1747"">Details:</strong></p>
<ul data-start=""1750"" data-end=""1888"">
<li data-start=""1788"" data-end=""1815"">
<p data-start=""1790"" data-end=""1815"">Sleek, sculptural style</p>
</li>
<li data-start=""1816"" data-end=""1852"">
<p data-start=""1818"" data-end=""1852"">Lightweight with a bold presence</p>
</li>
<li data-start=""1853"" data-end=""1888"">
<p data-start=""1855"" data-end=""1888"">A modern twist on classic hoops<br></p>
</li>
<li data-end=""433"" data-start=""383"">
<p data-end=""433"" data-start=""385"">Stainless steel with gold-plated elongated link design</p>
</li>
<li data-end=""498"" data-start=""434"">
<p data-end=""498"" data-start=""436"">Not waterproof — avoid wearing in the shower, pool, or ocean</p>
</li>
<li data-end=""555"" data-start=""499"">
<p data-end=""555"" data-start=""501"">Keep away from perfume, lotions, and harsh chemicals</p>
</li>
<li data-end=""613"" data-start=""556"">
<p data-end=""613"" data-start=""558"">Store in a dry place to maintain shine and durability</p>
</li>
</ul>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Earrings,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,6,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2820.jpg?v=1756620242,1,"",false,,,adults; teens,gold; geometric,hoop,gold-plated; stainless-steel,imitation-jewelry,,female,,kg,,,active
gold-double-hoop-earrings-interlocking-circle-design,Gold Double Hoop Earrings – Interlocking Circle Design,"<p data-start=""1301"" data-end=""1559"">Sleek and modern, these gold double hoop earrings feature two interlocking rings accented with a wrapped knot detail. A versatile design that balances minimalism with sophistication, making them perfect for everyday or special occasions.</p>
<ul data-start=""1561"" data-end=""1708"">
<li data-start=""1584"" data-end=""1631"">
<p data-start=""1586"" data-end=""1631"">Interlocking circle design with knot detail</p>
</li>
<li data-start=""1632"" data-end=""1662"">
<p data-start=""1634"" data-end=""1662"">Lightweight &amp; easy to wear</p>
</li>
<li data-start=""1663"" data-end=""1708"">
<p data-start=""1665"" data-end=""1708"">A chic addition to any jewelry collection<br></p>
</li>
<li data-start=""383"" data-end=""433"">
<p data-start=""385"" data-end=""433"">Stainless steel with gold-plated finish</p>
</li>
<li data-start=""434"" data-end=""498"">
<p data-start=""436"" data-end=""498"">Not waterproof — avoid wearing in the shower, pool, or ocean</p>
</li>
<li data-start=""499"" data-end=""555"">
<p data-start=""501"" data-end=""555"">Keep away from perfume, lotions, and harsh chemicals</p>
</li>
<li data-start=""556"" data-end=""613"">
<p data-start=""558"" data-end=""613"">Store in a dry place to maintain shine and durability</p>
</li>
</ul>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Earrings,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2723.jpg?v=1756441213,1,"",false,,,adults,geometric,hoop,gold-plated; stainless-steel,imitation-jewelry,,female,,kg,,1.00,active
classic-gold-plated-knot-stud-earrings,Gold Knot Stud Earrings - Classic Twist Design,"<p data-start=""302"" data-end=""539"">Add a touch of timeless elegance with these gold knot stud earrings. Featuring an interwoven knot design, they’re perfect for everyday wear or dressing up a minimal look. Lightweight, polished, and effortlessly chic.</p>
<ul data-start=""541"" data-end=""683"">
<li data-start=""564"" data-end=""587"">
<p data-start=""566"" data-end=""587"">Secure stud backing</p>
</li>
<li data-start=""588"" data-end=""640"">
<p data-start=""590"" data-end=""640"">Classic knot design symbolizing unity &amp; strength</p>
</li>
<li data-start=""641"" data-end=""683"">
<p data-start=""643"" data-end=""683"">Suitable for both casual &amp; formal wear</p>
</li>
<li data-start=""383"" data-end=""433"">
<p data-start=""385"" data-end=""433"">Stainless steel with gold-plated finish</p>
</li>
<li data-start=""434"" data-end=""498"">
<p data-start=""436"" data-end=""498"">Not waterproof — avoid wearing in the shower, pool, or ocean</p>
</li>
<li data-start=""499"" data-end=""555"">
<p data-start=""501"" data-end=""555"">Keep away from perfume, lotions, and harsh chemicals</p>
</li>
<li data-start=""556"" data-end=""613"">
<p data-start=""558"" data-end=""613"">Store in a dry place to maintain shine and durability</p>
</li>
</ul>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Earrings,"","",true,Title,Default Title,,,,,,,,,7.0,shopify,0,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2721.jpg?v=1756440918,1,"",false,,,teens; adults,gold,stud,stainless-steel; gold-plated,imitation-jewelry,,unisex; female,,g,,1.00,active
gold-initial-necklace-letter-a,Gold Plated Initial Necklace,"<style>[stylesheet-group=""0""]{}
body{margin:0;}
button::-moz-focus-inner,input::-moz-focus-inner{border:0;padding:0;}
html{-ms-text-size-adjust:100%;-webkit-text-size-adjust:100%;-webkit-tap-highlight-color:rgba(0,0,0,0);}
input::-webkit-search-cancel-button,input::-webkit-search-decoration,input::-webkit-search-results-button,input::-webkit-search-results-decoration{display:none;}
[stylesheet-group=""1""]{}
.css-146c3p1{background-color:rgba(0,0,0,0.00);border:0 solid black;box-sizing:border-box;color:rgba(0,0,0,1.00);display:inline;font:14px -apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,Helvetica,Arial,sans-serif;list-style:none;margin:0px;padding:0px;position:relative;text-align:start;text-decoration:none;white-space:pre-wrap;word-wrap:break-word;}
.css-175oi2r{align-items:stretch;background-color:rgba(0,0,0,0.00);border:0 solid black;box-sizing:border-box;display:flex;flex-basis:auto;flex-direction:column;flex-shrink:0;list-style:none;margin:0px;min-height:0px;min-width:0px;padding:0px;position:relative;text-decoration:none;z-index:0;}
.css-1jxf684{background-color:rgba(0,0,0,0.00);border:0 solid black;box-sizing:border-box;color:inherit;display:inline;font:inherit;list-style:none;margin:0px;padding:0px;position:relative;text-align:inherit;text-decoration:none;white-space:inherit;word-wrap:break-word;}
.css-9pa8cd{bottom:0px;height:100%;left:0px;opacity:0;position:absolute;right:0px;top:0px;width:100%;z-index:-1;}
[stylesheet-group=""2""]{}
.r-13awgt0{flex:1;}
.r-1adg3ll{display:block;}
.r-1jkafct{border-bottom-left-radius:2px;border-bottom-right-radius:2px;border-top-left-radius:2px;border-top-right-radius:2px;}
.r-1phboty{border-bottom-style:solid;border-left-style:solid;border-right-style:solid;border-top-style:solid;}
.r-1udh08x{overflow-x:hidden;overflow-y:hidden;}
.r-4iw3lz{border-bottom-width:0;border-left-width:0;border-right-width:0;border-top-width:0;}
.r-4qtqp9{display:inline-block;}
.r-6koalj{display:flex;}
.r-bztko3{overflow-x:visible;overflow-y:visible;}
.r-crgep1{margin:0px;}
.r-hvic4v{display:none;}
.r-krxsd3{display:-webkit-box;}
.r-rs99b7{border-bottom-width:1px;border-left-width:1px;border-right-width:1px;border-top-width:1px;}
.r-sdzlij{border-bottom-left-radius:9999px;border-bottom-right-radius:9999px;border-top-left-radius:9999px;border-top-right-radius:9999px;}
.r-t60dpp{padding:0px;}
.r-wwvuq4{padding:0;}
.r-xoduu5{display:inline-flex;}
.r-ywje51{margin:auto;}
.r-z2wwpe{border-bottom-left-radius:4px;border-bottom-right-radius:4px;border-top-left-radius:4px;border-top-right-radius:4px;}
[stylesheet-group=""2.1""]{}
.r-1559e4e{padding-bottom:2px;padding-top:2px;}
.r-1fkl15p{padding-left:32px;padding-right:32px;}
.r-3o4zer{padding-left:12px;padding-right:12px;}
.r-3pj75a{padding-left:16px;padding-right:16px;}
.r-cxgwc0{padding-left:24px;padding-right:24px;}
.r-dd0y9b{padding-bottom:20px;padding-top:20px;}
.r-ddtstp{margin-bottom:0px;margin-top:0px;}
.r-dp7rxi{padding-bottom:40px;padding-top:40px;}
.r-f8sm7e{margin-left:auto;margin-right:auto;}
.r-n7gxbd{padding-left:4px;padding-right:4px;}
.r-s49dbf{margin-bottom:1px;margin-top:1px;}
.r-sjygvo{padding-left:1em;padding-right:1em;}
[stylesheet-group=""2.2""]{}
.r-1ca1ndr{margin-left:0.5em;}
.r-1ez5h0i{margin-left:4px;}
.r-1gs4q39{margin-right:4px;}
.r-1kkk96v{margin-left:8px;}
.r-1kpi4qh{margin-left:0.075em;}
.r-1l2kgy{margin-right:0.5em;}
.r-1q6cnnd{right:-2px;}
.r-1wron08{margin-right:8px;}
.r-3t4u6i{margin-left:2px;}
.r-45ll9u{left:50%;}
.r-5f1w11{left:-2px;}
.r-k4bwe5{margin-right:0.075em;}
.r-o59np7{padding-right:8px;}
.r-ocobd0{right:50%;}
.r-qjj4hq{padding-left:8px;}
.r-x1x4zq{margin-right:2px;}
[stylesheet-group=""3""]{}
.r-105ug2t{pointer-events:auto!important;}
.r-109y4c4{height:1px;}
.r-10ptun7{height:16px;}
.r-10v3vxq{transform:scaleX(-1);}
.r-117bsoe{margin-bottom:20px;}
.r-11c0sde{margin-top:24px;}
.r-11j9u27{visibility:hidden;}
.r-12181gd{box-shadow:0 0 2px rgba(0,0,0,0.03) inset;}
.r-12sks89{min-height:22px;}
.r-12vffkv>*{pointer-events:auto;}
.r-12vffkv{pointer-events:none!important;}
.r-12ym1je{width:18px;}
.r-135wba7{line-height:24px;}
.r-13qz1uu{width:100%;}
.r-13wfysu{-webkit-text-decoration-line:none;text-decoration-line:none;}
.r-146iojx{max-width:300px;}
.r-1472mwg{height:24px;}
.r-14j79pv{color:rgba(83,100,113,1.00);}
.r-14lw9ot{background-color:rgba(255,255,255,1.00);}
.r-15ysp7h{min-height:32px;}
.r-16dba41{font-weight:400;}
.r-16y2uox{flex-grow:1;}
.r-176fswd{transform:translateX(-50%) translateY(-50%);}
.r-1777fci{justify-content:center;}
.r-17bb2tj{animation-duration:0.75s;}
.r-17leim2{background-repeat:repeat;}
.r-17s6mgv{justify-content:flex-end;}
.r-18jsvk2{color:rgba(15,20,25,1.00);}
.r-18tzken{width:56px;}
.r-18u37iz{flex-direction:row;}
.r-18yzcnr{height:22px;}
.r-19wmn03{width:20px;}
.r-19yznuf{min-height:52px;}
.r-1abnn5w{animation-play-state:paused;}
.r-1acpoxo{width:36px;}
.r-1ad0z5i{word-break:break-all;}
.r-1awozwy{align-items:center;}
.r-1b43r93{font-size:14px;}
.r-1betnmo{max-width:672px;}
.r-1blnp2b{width:72px;}
.r-1blvdjr{font-size:23px;}
.r-1ceczpf{min-height:24px;}
.r-1cwl3u0{line-height:16px;}
.r-1d2f490{left:0px;}
.r-1ddef8g{-webkit-text-decoration-line:underline;text-decoration-line:underline;}
.r-1dn12g7{line-height:48px;}
.r-1ebb2ja{list-style:none;}
.r-1ff274t{text-align:right;}
.r-1gkfh8e{font-size:11px;}
.r-1h0z5md{justify-content:flex-start;}
.r-1h8ys4a{padding-top:4px;}
.r-1hjwoze{height:18px;}
.r-1iln25a{word-wrap:normal;}
.r-1inkyih{font-size:17px;}
.r-1ipicw7{width:300px;}
.r-1iusvr4{flex-basis:0px;}
.r-1janqcz{width:16px;}
.r-1jaylin{width:-webkit-max-content;width:-moz-max-content;width:max-content;}
.r-1k78y06{font-family:Tahoma, Arial, sans-serif;}
.r-1kihuf0{align-self:center;}
.r-1ldzwu0{animation-timing-function:linear;}
.r-1loqt21{cursor:pointer;}
.r-1mlwlqe{flex-basis:auto;}
.r-1mrlafo{background-position:0;}
.r-1muvv40{animation-iteration-count:infinite;}
.r-1mwlp6a{height:56px;}
.r-1nao33i{color:rgba(231,233,234,1.00);}
.r-1niwhzg{background-color:rgba(0,0,0,0.00);}
.r-1ny4l3l{outline-style:none;}
.r-1oifz5y{background-color:rgba(170,17,0,1.00);}
.r-1oszu61{align-items:stretch;}
.r-1otgn73{touch-action:manipulation;}
.r-1p0dtai{bottom:0px;}
.r-1pi2tsx{height:100%;}
.r-1ps3wis{min-width:44px;}
.r-1qd0xha{font-family:-apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,Helvetica,Arial,sans-serif;}
.r-1qi8awa{min-width:36px;}
.r-1r5jyh0{min-height:130px;}
.r-1r8g8re{height:36px;}
.r-1s2hp8q{min-height:26px;}
.r-1sxrcry{background-size:auto;}
.r-1tl8opc{font-family:""Segoe UI"",Meiryo,system-ui,-apple-system,BlinkMacSystemFont,sans-serif;}
.r-1to6hqq{background-color:rgba(255,212,0,1.00);}
.r-1ttztb7{text-align:inherit;}
.r-1udbk01{text-overflow:ellipsis;}
.r-1v2oles{top:50%;}
.r-1vmecro{direction:rtl;}
.r-1vr29t4{font-weight:800;}
.r-1wb8bfx{text-decoration-thickness:2px;}
.r-1wbh5a2{flex-shrink:1;}
.r-1wyyakw{z-index:-1;}
.r-1xcajam{position:fixed;}
.r-1xk2f4g{clip:rect(1px, 1px, 1px, 1px);}
.r-1xnzce8{-moz-user-select:text;-webkit-user-select:text;user-select:text;}
.r-1xvli5t{height:1.25em;}
.r-1y7e96w{min-width:22px;}
.r-1ye8kvj{max-width:600px;}
.r-1yef0xd{animation-name:r-11cv4x;}
.r-1yjpyg1{font-size:31px;}
.r-1ykxob0{top:60%;}
.r-2o02ov{margin-top:40px;}
.r-2tavb8{background-color:rgba(0,0,0,0.60);}
.r-2yi16{min-height:36px;}
.r-36ujnk{font-style:italic;}
.r-37tt59{line-height:32px;}
.r-3s2u2q{white-space:nowrap;}
.r-417010{z-index:0;}
.r-4gszlv{background-size:cover;}
.r-4wgw6l{min-width:32px;}
.r-54znze{color:rgba(239,243,244,1.00);}
.r-56xrmm{line-height:12px;}
.r-6026j{background-color:rgba(255,255,255,0.85);}
.r-633pao{pointer-events:none!important;}
.r-6416eg{-moz-transition-property:background-color, box-shadow;-webkit-transition-property:background-color, box-shadow;transition-property:background-color, box-shadow;}
.r-64el8z{min-width:52px;}
.r-7q8q6z{cursor:default;}
.r-8akbws{-webkit-box-orient:vertical;}
.r-8jfcpp{top:-2px;}
.r-92ng3h{width:1px;}
.r-a023e6{font-size:15px;}
.r-adyw6z{font-size:20px;}
.r-agouwx{transform:translateZ(0);}
.r-ah5dr5>*{pointer-events:none;}
.r-ah5dr5{pointer-events:auto!important;}
.r-aqfbo4{backface-visibility:hidden;}
.r-b88u0q{font-weight:700;}
.r-bcqeeo{min-width:0px;}
.r-bnwqim{position:relative;}
.r-bt1l66{min-height:20px;}
.r-bvlit7{margin-bottom:-12px;}
.r-clrlgt{animation-name:r-imtty0;}
.r-deolkf{box-sizing:border-box;}
.r-dflpy8{height:1.2em;}
.r-dnmrzs{max-width:100%;}
.r-ehq7j7{background-size:contain;}
.r-emqnss{transform:translateZ(0px);}
.r-eqz5dr{flex-direction:column;}
.r-ero68b{min-height:40px;}
.r-fdjqy7{text-align:left;}
.r-fm7h5w{font-family:""TwitterChirpExtendedHeavy"",""Verdana"",-apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,Helvetica,Arial,sans-serif;}
.r-h9hxbl{width:1.2em;}
.r-icoktb{opacity:0.5;}
.r-ifefl9{min-height:0px;}
.r-impgnl{transform:translateX(50%) translateY(-50%);}
.r-iphfwy{padding-bottom:4px;}
.r-ipm5af{top:0px;}
.r-jmul1s{transform:scale(1.1);}
.r-jwli3a{color:rgba(255,255,255,1.00);}
.r-kemksi{background-color:rgba(0,0,0,1.00);}
.r-lp5zef{min-width:24px;}
.r-lrsllp{width:24px;}
.r-lrvibr{-moz-user-select:none;-webkit-user-select:none;user-select:none;}
.r-m6rgpd{vertical-align:text-bottom;}
.r-majxgm{font-weight:500;}
.r-n6v787{font-size:13px;}
.r-nhe8su{animation-duration:0.5s;}
.r-nvplwv{animation-timing-function:ease-out;}
.r-nwxazl{line-height:40px;}
.r-o7ynqc{transition-duration:0.2s;}
.r-peo1c{min-height:44px;}
.r-poiln3{font-family:inherit;}
.r-pp5qcn{vertical-align:-20%;}
.r-q4m81j{text-align:center;}
.r-qlhcfr{font-size:0.001px;}
.r-qvk6io{line-height:0px;}
.r-qvutc0{word-wrap:break-word;}
.r-rjixqe{line-height:20px;}
.r-rki7wi{bottom:12px;}
.r-s67bdx{font-size:48px;}
.r-sb58tz{max-width:1000px;}
.r-tjvw6i{text-decoration-thickness:1px;}
.r-u6sd8q{background-repeat:no-repeat;}
.r-u8s1d{position:absolute;}
.r-ueyrd6{line-height:36px;}
.r-uho16t{font-size:34px;}
.r-vkv6oe{min-width:40px;}
.r-vlxjld{color:rgba(247,249,249,1.00);}
.r-vqxq0j{border:0 solid black;}
.r-vrz42v{line-height:28px;}
.r-vvn4in{background-position:center;}
.r-wy61xf{height:72px;}
.r-x3cy2q{background-size:100% 100%;}
.r-x572qd{background-color:rgba(247,249,249,1.00);}
.r-xigjrr{-webkit-filter:blur(4px);filter:blur(4px);}
.r-yc9v9c{width:22px;}
.r-yfoy6g{background-color:rgba(21,32,43,1.00);}
.r-yn5ncy{animation-fill-mode:both;}
.r-yy2aun{font-size:26px;}
.r-yyyyoo{fill:currentcolor;}
.r-z7pwl0{max-width:700px;}
.r-z80fyv{height:20px;}
.r-zchlnj{right:0px;}
@-webkit-keyframes r-11cv4x{0%{transform:rotate(0deg);}100%{transform:rotate(360deg);}}
@-webkit-keyframes r-imtty0{0%{opacity:0;}100%{opacity:1;}}
@keyframes r-11cv4x{0%{transform:rotate(0deg);}100%{transform:rotate(360deg);}}
@keyframes r-imtty0{0%{opacity:0;}100%{opacity:1;}}
.r-86kzs8{position:absolute;visibility:hidden;top:0;width:50px;pointer-events:none}
.r-86kzs8.loaded{visibility:visible;top:50vh;width:50px}</style>
<div>
<div>Delicate gold initial necklace featuring a customizable single letter pendant (available in A, B, C, D, F, G, H, J, K, L, M, N, R, S). <br>
</div>
<div><br></div>
<div>
<ul>
<li>
<p>Crafted with a sleek gold plated chain and a polished letter charm,</p>
</li>
<li>
<p>This minimalist piece adds a personal touch to any look. </p>
</li>
<li>
<p>Perfect for gifting or everyday wear.</p>
</li>
<li data-end=""433"" data-start=""383"">
<p data-end=""433"" data-start=""385"">Stainless steel with gold-plating</p>
</li>
<li data-end=""498"" data-start=""434"">
<p data-end=""498"" data-start=""436"">Not waterproof — avoid wearing in the shower, pool, or ocean</p>
</li>
<li data-end=""555"" data-start=""499"">
<p data-end=""555"" data-start=""501"">Keep away from perfume, lotions, and harsh chemicals</p>
</li>
<li data-end=""613"" data-start=""556"">
<p data-end=""613"" data-start=""558"">Store in a dry place to maintain shine and durability</p>
</li>
</ul>
</div>
</div>",Yeah Noir Yeah,Apparel & Accessories > Jewelry > Necklaces,"","",true,Letter,A,,,,,,,,,0.0,shopify,19,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2745.jpg?v=1756442149,1,"",false,,,teens; adults,gold,,gold-plated; stainless-steel,imitation-jewelry,pendant,female; unisex,https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2745.jpg?v=1756442149,kg,,1.00,active
gold-initial-necklace-letter-a,,,,,,,,,B,,,,,,,,,0.0,shopify,5,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2748_66f9826a-0f80-4cfc-925c-d27c7e21cc63.jpg?v=1756443240,2,"",,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2745.jpg?v=1756442149,kg,,1.00,
gold-initial-necklace-letter-a,,,,,,,,,C,,,,,,,,,0.0,shopify,5,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2750.jpg?v=1756442150,3,"",,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/1993/5542/files/Edited2745.jpg?v=1756442149,kg,,1.00,
